Player,year,grupos,x,y
A. Younes,21,3,2.0067268959868216,2.7408812049698845
P. Stenzel,21,2,-0.8891385713804544,-4.759008510141899
M. Hoppe,21,5,-1.9990665937786773,5.788466895934417
K. Adams,21,2,-1.0884364155883324,-5.146741663056094
A. Barkok,21,3,1.3171581263943501,2.555644025691486
M. Nastasić,21,2,-4.004978203143999,-5.801964290760682
D. Zeefuik,21,3,-0.19355687213509587,2.329189826164329
S. Mustafi,21,2,-3.3031311043188656,-5.905457885316304
V. Darida,21,4,1.9686823027711045,1.032904758726314
Jorge Meré,21,2,-2.799935064874853,-4.963376100651823
J. Barrett Laursen,21,4,1.4564516406179338,-0.849740809834096
M. van der Hoorn,21,2,-2.493348104132682,-5.358421001520267
F. Kunze,21,1,-1.8745975071452232,-1.1054040700951653
D. Heintz,21,2,-0.9799931525758651,-5.455525224763108
S. Córdova,21,5,-2.1388569593552145,5.719868706372746
J. Schmid,21,4,3.1430569564539237,-0.08592107480765801
B. Stambouli,21,2,-1.2579900706693454,-4.667726047326358
J. Horn,21,4,2.2388591861362936,-0.9425735280264398
Ö. Toprak,21,2,-2.9277746771325597,-4.708972972669572
R. Framberger,21,4,3.31684864242389,-0.18585598106479803
R. Steffen,21,3,1.0988012482560419,1.9788628674091706
M. Klimowicz,21,3,0.6725386933676428,3.5122601667231366
J. Boateng,21,2,-0.6093609398082412,-5.408977053438687
S. Andersson,21,5,-2.867911823663217,5.88519446049531
A. Lucoqui,21,1,-2.025477577690502,-2.4499055704709587
N. Katterbach,21,4,2.6213634586641255,-0.48813477295930385
A. Voglsammer,21,5,-1.6382940753197497,5.638514657370559
M. Mbom,21,1,-1.655379172067589,-0.3946778321389557
M. Kruse,21,3,1.5109432749993927,2.334652262325267
D. Drexler,21,4,2.3477868139834985,0.8380600867538084
C. Trimmel,21,4,3.339202857906415,-0.3680385322389331
L. Klünter,21,4,1.4279393306568027,-1.1139372358081998
M. Hasebe,21,2,-1.0255016932877927,-5.672998875164943
R. Czichos,21,2,-1.543273144885967,-4.776162728571504
E. Durm,21,4,2.782017369261974,0.16292056460596827
T. Strobl,21,1,-0.12333404480711901,-1.241965631972321
S. Ilsanker,21,1,-1.198892800918265,-2.745920296918487
K. Möhwald,21,1,0.45113963543477026,-1.674130144764746
T. Becker,21,4,1.3403832401740043,-0.6061742162698418
D. Caligiuri,21,4,0.14079336443924448,0.9179727653072935
J. Baumgartlinger,21,1,0.09389654470452395,-2.268718071965608
S. Griesbeck,21,1,-1.5674179397425885,-0.6848997718321965
D. Latza,21,1,-1.1653655776002267,-0.9759544321278013
S. Čestić,21,2,-1.8607582398165348,-3.9823166341284195
M. Prietl,21,1,-1.1059941879763717,-0.9593296167995395
P. Pekarík,21,4,1.7369745943039225,-0.6392189720210342
S. Sané,21,2,-3.2873397479400475,-5.692003811382059
C. Groß,21,1,-1.0940099427532854,-1.68034695211177
O. Wendt,21,4,1.6665532689934488,-0.6749683383666525
B. Oczipka,21,4,2.203598094571212,-0.8993003190962212
F. Klos,21,5,-3.1865164494461133,6.1641793099153155
T. Gebre Selassie,21,4,1.4789449960093468,-1.1521589957912515
N. Moisander,21,2,-1.5925040774105832,-5.774396318110303
D. Brosinski,21,4,3.5605763684209064,-0.41430530075274247
D. Didavi,21,3,1.549931557147426,1.66137933657522
D. Abraham,21,2,-1.615728064352647,-4.244632876063972
G. Castro,21,3,1.4083574024501488,1.8673685072793957
C. Gentner,21,1,-0.06613692994045844,-1.0224585161312807
E. Haaland,22,5,-0.2913028425518578,5.749873399826131
J. Bellingham,22,1,-0.22549939874412922,-2.18784129879167
J. Musiala,22,3,1.8194314848630935,4.3286099644515525
F. Wirtz,22,3,2.0462278326679453,2.6991188331663887
C. Nkunku,22,3,1.8172429067968792,3.968299075719305
J. Kimmich,22,1,1.2733289731671809,-3.3085861318097143
J. Gvardiol,22,1,0.6150055464722044,-3.6162963333061584
L. Sané,22,3,1.9853835256988717,4.402149183608221
A. Davies,22,3,2.3342822308305706,2.4845263581959416
L. Goretzka,22,3,1.6765553907736224,1.8296165610637813
K. Coman,22,3,3.564803371392748,4.03214228548245
D. Upamecano,22,2,-0.71953099410355,-5.953269183443244
S. Gnabry,22,3,3.4719717090476068,4.052528177711067
M. Diaby,22,3,2.3798805050064322,3.87872712113456
L. Hernández,22,2,-0.5683407207171686,-5.707974605056332
R. Lewandowski,22,5,-0.14583257700072877,5.712785975451551
N. Schlotterbeck,22,2,-1.3807469841654334,-5.155843404625283
D. Szoboszlai,22,3,1.5894415389547976,2.1671740999307954
J. Brandt,22,3,1.9666494811538775,1.9990629849294272
N. Süle,22,2,-0.6793723594586438,-5.752653217954258
B. Pavard,22,1,0.8442231719825108,-3.712839227171983
J. Frimpong,22,4,2.2642746079034626,1.2472557977122214
M. Thuram,22,5,0.22485868880154608,5.0004205390292045
E. N'Dicka,22,2,-2.965075885344787,-4.6623481878219755
