ID,Player,Team,Minutes played,league_id
772,Álex Fernández,Cádiz,1745,140
773,Sergio Busquets,Barcelona,2240,140
774,José Ángel Carmona,Elche,1193,140
775,Gonzalo Melero,Almería,1669,140
776,I. Rakitić,Sevilla,1719,140
777,K. Rekik,Sevilla,911,140
778,Unai López,Rayo Vallecano,1290,140
779,Óscar Valentín,Rayo Vallecano,2398,140
780,P. Ciss,Rayo Vallecano,1368,140
781,Omar Mascarell,Elche,2679,140
782,Gerard Gumbau,Elche,2468,140
783,Raúl Guti,Elche,1167,140
784,Álvaro Aguado,Real Valladolid,1763,140
785,I. Baba,Mallorca,1498,140
786,Fernando,Sevilla,1623,140
787,E. Capoue,Villarreal,1844,140
788,Roque Mesa,Real Valladolid,1491,140
789,Iñigo Ruiz de Galarreta,Mallorca,2476,140
790,Asier Illarramendi,Real Sociedad,990,140
791,Dani García,Athletic Bilbao,1428,140
792,Rubén Alcaraz,Cádiz,2009,140
793,Fede San Emeterio,Cádiz,1731,140
794,Sergio Escudero,Real Valladolid,1362,140
795,Ángel Algobia,Getafe,1214,140
796,A. Guardado,Real Betis,1346,140
797,Iñigo Eguaras,Almería,1028,140
798,Pablo Ibáñez,Osasuna,1007,140
920,E. Sánchez,Pachuca,3861,262
921,L. Chávez,Pachuca,3793,262
922,Álvaro Fidalgo,América,3550,262
923,L. Romo,Monterrey,3680,262
924,R. Sánchez,América,2913,262
925,C. Baeza,Toluca,3401,262
926,A. Cervantes,Santos Laguna,2871,262
927,M. Ruiz,Toluca,3489,262
928,E. Lira,Cruz Azul,3174,262
929,Á. Márquez,Atlas,2022,262
930,A. Rocha,Atlas,2272,262
931,P. Aquino,Santos Laguna,1335,262
932,L. Romero,León,1282,262
933,Rodrigo Dourado,Atlético de San Luis,2712,262
934,M. Kranevitter,River Plate,1016,262
935,J. Rodríguez,León,2182,262
936,J. Salas,Juárez,2343,262
937,J. Esquivel,Necaxa,2972,262
938,J. Intriago,Mazatlán,2550,262
939,S. Flores,Guadalajara,1241,262
940,J. Sierra,Juárez,2359,262
941,E. Zaldívar,Atlas,2106,262
942,Higor Meritão,Pumas UNAM,1843,262
943,R. González,Guadalajara,2163,262
944,L. López,Club Tijuana,1512,262
945,Rafael Carioca,Tigres UANL,2810,262
946,F. Lértora,Club Tijuana,2963,262
947,J. Güemez,Atlético de San Luis,2986,262
948,A. Araos,Atlético GO,1097,262
949,A. López,Santos Laguna,1687,262
950,B. Angulo,Toluca,2999,262
951,C. Rivera,Querétaro,2115,262
952,J. Vigón,Tigres UANL,1746,262
953,C. Ortiz,Monterrey,3053,262
954,R. Meráz,Mazatlán,2510,262
955,M. García,Belgrano,955,262
956,V. Poggi,Necaxa,922,262
957,F. Madrigal,Necaxa,2438,262
958,F. Mancuello,Puebla,3545,262
959,K. Escamilla,Querétaro,2279,262
960,A. Iniestra,Atlético de San Luis,972,262
961,J. Díaz,Club Tijuana,1572,262
962,R. Baca,Cruz Azul,1156,262
963,J. Vázquez,Club Tijuana,1828,262
964,R. Monreal,Necaxa,992,262
965,J. Caicedo,Pumas UNAM U20,1119,262
966,J. Hernández,Querétaro,1389,262
967,L. Montes,Everton,956,262
968,D. García,Juárez,1064,262
969,E. Martínez,Puebla,1400,262
970,A. Montaño,Mazatlán,1289,262
971,Dani Alves,NA,1215,262
1123,M. Verratti,PSG,1902,61
1124,M. Camara,Monaco,2147,61
1125,Y. Fofana,Monaco,2921,61
1126,V. Rongier,Olympique Marseille,2950,61
1127,B. Santamaria,Rennes,1560,61
1128,E. Le Fée,Lorient,2814,61
1129,André Gomes,Lille,1776,61
1130,J. Veretout,Olympique Marseille,2672,61
1131,C. Tolisso,Olympique Lyonnais,1803,61
1132,S. Abdul Samed,Lens,2716,61
1133,Angel Gomes,Lille,2664,61
1134,T. Savanier,Montpellier,2463,61
1135,B. André,Lille,2721,61
1136,J. Lepenant,Olympique Lyonnais,2007,61
1137,J. Chotard,Montpellier,2251,61
1138,B. van den Boomen,Toulouse,2954,61
1139,I. Sissoko,Strasbourg,1117,61
1140,L. Ugochukwu,Rennes,1399,61
1141,B. Diakité,Lille,2436,61
1142,H. Boudaoui,Nice,1655,61
1143,F. Tait,Rennes,1753,61
1144,P. Rosario,Nice,1611,61
1145,L. Agoumé,Troyes,1093,61
1146,E. Matazo,Monaco,1070,61
1147,Pedro Chirivella,Nantes,1997,61
1148,A. Matusiwa,Reims,2377,61
1149,Thiago Mendes,Olympique Lyonnais,2085,61
1150,R. Kouamé,Troyes,2438,61
1151,S. Kolašinac,Olympique Marseille,2064,61
1152,A. Seidu,Clermont,2246,61
1153,J. Ferri,Montpellier,2626,61
1154,N. Bentaleb,Angers SCO,2447,61
1155,J. Cajuste,Reims,1349,61
1156,S. Moutoussamy,Nantes,2164,61
1157,P. Lees-Melou,Brest,2570,61
1158,S. Spierings,Toulouse,3078,61
1159,M. Sissoko,Nantes,1945,61
1160,S. Prcić,Strasbourg,1706,61
1161,D. Lopy,Reims,1411,61
1162,J. Aholou,Strasbourg,1394,61
1163,L. Abergel,Lorient,2100,61
1164,H. Belkebla,Brest,2493,61
1165,V. Marchetti,Ajaccio,2372,61
1166,B. Mendy,Angers SCO,2670,61
1167,F. Tardieu,Troyes,1079,61
1168,H. Sakhi,Auxerre,1719,61
1169,Y. Magnin,Clermont,2405,61
1170,B. Innocent,Lorient,1151,61
1171,X. Chavalerin,Troyes,2123,61
1172,H. Magnetti,Brest,1674,61
1173,I. Diallo,Ajaccio,2187,61
1174,B. Touré,Auxerre,3224,61
1175,L. Leroy,Montpellier,1192,61
1176,M. Gonalons,Clermont,1338,61
1177,J. Gastien,Clermont,2396,61
1178,M. Diarra,Toulouse,1243,61
1179,T. Mangani,Ajaccio,1351,61
1180,M. Barreto,Ajaccio,1079,61
1181,A. Bamba,Angers SCO,1091,61
1182,P. Capelle,Angers SCO,1380,61
1183,M. Coutadeur,Ajaccio,1825,61
1324,E. Fernández,Chelsea,1303,39
1325,Rodri,Manchester City,2947,39
1326,D. Rice,West Ham United,3233,39
1327,Bruno Guimarães,Newcastle United,2581,39
1328,M. Caicedo,Brighton,2889,39
1329,Casemiro,Manchester United,1830,39
1330,Fabinho,Liverpool,2649,39
1331,P. Højbjerg,Tottenham Hotspur,3338,39
1332,A. Onana,Everton,2466,39
1333,R. Bentancur,Tottenham Hotspur,1617,39
1334,M. Kovačić,Chelsea,1807,39
1335,Rúben Neves,Wolverhampton Wanderers,3061,39
1336,O. Zinchenko,Arsenal,2284,39
1337,J. Ward-Prowse,Southampton,3317,39
1338,T. Partey,Arsenal,2500,39
1339,Douglas Luiz,Aston Villa,2932,39
1340,João Palhinha,Fulham,3012,39
1341,Jorginho,Arsenal,2101,39
1342,W. Ndidi,Leicester City,1631,39
1343,Y. Tielemans,Leicester City,2173,39
1344,J. Stones,Manchester City,1882,39
1345,C. Doucouré,Crystal Palace,2704,39
1346,J.  McGinn,Aston Villa,2656,39
1347,S. McTominay,Manchester United,1226,39
1348,R. Lavia,Southampton,2076,39
