ID,Player,Team,Minutes played,league_id
3471,L. Bittencourt,Werder Bremen,1487,78
3472,R. Zalazar,Schalke 04,1273,78
3473,M. Bülter,Schalke 04,2644,78
3474,L. Stindl,Borussia M'gladbach,1690,78
3475,E. Millot,Stuttgart,940,78
3476,C. Antwi-Adjei,Bochum,1845,78
3477,D. Drexler,Schalke 04,1325,78
3612,C. Gakpo,Liverpool,1206,88
3613,Xavi Simons,PSV,2706,88
3614,M. Kudus,Ajax,1656,88
3615,S. Bergwijn,Ajax,2205,88
3616,J. Karlsson,AZ,1659,88
3617,S. Szymański,Feyenoord,1882,88
3618,J. Bakayoko,PSV,1409,88
3619,A. El Ghazi,PSV,1084,88
3620,T. Reijnders,AZ,3014,88
3621,K. Kozłowski,Vitesse,1973,88
3622,D. Tadić,Ajax,2911,88
3623,M. Pedersen,Feyenoord,2202,88
3624,T. Booth,Utrecht,1581,88
3625,Igor Paixão,Feyenoord,1179,88
3626,J. Dilrosun,Feyenoord,1938,88
3627,O. Idrissi,Feyenoord,1344,88
3628,V. Černý,Twente,2258,88
3629,O. Sahraoui,Heerenveen,905,88
3630,S. Mijnans,AZ,2634,88
3631,G. Vidović,Vitesse,1274,88
3632,A. Jahanbakhsh,Feyenoord,1207,88
3633,M. Bero,Vitesse,2810,88
3634,Iñigo Córdoba,Fortuna Sittard,2185,88
3635,T. Suslov,Groningen,2041,88
3636,A. Verschueren,Sparta Rotterdam,2424,88
3637,M. van Brederode,AZ,1097,88
3638,V. Misidjan,Twente,2078,88
3639,M. Vlap,Twente,2163,88
3640,M. Manhoef,Vitesse,2206,88
3641,E. Tavsan,NEC,2536,88
3642,S. Olsson,Heerenveen,2150,88
3643,V. van Crooij,Sparta Rotterdam,2802,88
3644,Úmaro Embaló,Fortuna Sittard,1346,88
3645,M. Azarkan,Excelsior,1648,88
3646,M. Diemers,Emmen,2645,88
3647,O. Boussaid,Utrecht,1991,88
3648,K. Saito,Sparta Rotterdam,1488,88
3649,Y. Namli,Sparta Rotterdam,1299,88
3650,M. Seuntjens,RKC Waalwijk,2591,88
3651,F. Krüger,Groningen,1148,88
3652,O. Tannane,NEC,2011,88
3653,K. Goudmijn,Excelsior,2694,88
3654,W. Willumsson,Go Ahead Eagles,2070,88
3655,S. van der Water,Cambuur,1188,88
3656,O. Edvardsen,Go Ahead Eagles,1927,88
3657,B. Adekanye,Go Ahead Eagles,1989,88
3658,O. Romeny,Emmen,2430,88
3659,Rui Mendes,Emmen,1505,88
3660,M. Duelund,NEC,1010,88
3661,G. Oristanio,Volendam,1808,88
3662,P. Clement,RKC Waalwijk,2309,88
3663,L. Lamprou,Excelsior,1423,88
3664,A. El Messaoudi,Emmen,1419,88
3665,M. Mattsson,NEC,1666,88
3666,J. Jacobs,Cambuur,1497,88
3667,I. Bel Hassani,RKC Waalwijk,1395,88
3668,N. Foor,Cambuur,1050,88
3669,F. Jozefzoon,RKC Waalwijk,904,88
3670,D. van Mieghem,Volendam,1822,88
3671,M. Breij,Cambuur,1414,88
3672,Y. Oukili,RKC Waalwijk,1719,88
3673,T. Noslin,Fortuna Sittard,1486,88
3674,C. Driouech,Excelsior,2244,88
3675,R. Balk,Cambuur,1135,88
3676,B. Ould-Chikh,Volendam,1023,88
3677,A. Sarr,Olympique Lyonnais,1755,88
3678,I. Cissoko,NEC,925,88
3679,L. Valente,Groningen,932,88
3807,S. Pérez Bouquet,Juárez,1802,263
3808,E. Partida,Necaxa,1924,263
3809,J. Domínguez,Necaxa,1866,263
3810,O. Islas,Atlético Morelia,3140,263
3811,J. Peralta,Cimarrones de Sonora,3680,263
3812,C. Acosta,Kalamata,3267,263
3813,R. González,Atlante,1376,263
3814,H. Mascorro,Tepatitlán de Morelos,1867,263
3815,E. Torres,Universidad Guadalajara,3490,263
3816,M. Vallejo,Universidad Guadalajara,3533,263
3817,M. Rodríguez,Celaya,1656,263
3818,S. Lora,Venados,2775,263
3819,A. Zamorano,Correcaminos UAT,2268,263
3820,A. Tamay,Cancún,2578,263
3821,J. Clemente,Mineros de Zacatecas,2867,263
3822,G. Hernández,Correcaminos UAT,2871,263
3823,J. Henestrosa,Universidad Guadalajara,2692,263
3824,J. Rodríguez,Cancún,3130,263
3825,C. Canozales,Alebrijes de Oaxaca,2697,263
3826,Á. López,Malacateco,2165,263
3827,D. Amador,Correcaminos UAT,2125,263
3828,J. Alonzo,Cancún,2350,263
3829,C. Bermúdez,Atlante,3019,263
3830,D. Magaña,Tapatío,2176,263
3831,A. Tecpanécatl,Atlético Morelia,2542,263
3832,J. Vega,Mineros de Zacatecas,1622,263
3833,C. Sánchez,Mineros de Zacatecas,1456,263
3834,W. Rentería,Xelajú,2767,263
3835,J. Pérez,CA La Paz,1377,263
3836,D. Hernández,Cancún,1840,263
3837,M. Pérez,Venados,917,263
3838,M. Galván,Salamanca CF UDS,1983,263
3839,J. López,Cimarrones de Sonora,1414,263
3840,J. Ochoa,CA La Paz,1045,263
3841,S. Vergara,Cobreloa,1602,263
3842,J. Hernández,Tlaxcala,2215,263
3843,A. Villalobos,Universidad Guadalajara,1519,263
3844,N. Gómez,CA La Paz,1883,263
3845,L. Morales,CA La Paz,1924,263
3846,J. Cobián,Durango,1143,263
3847,J. Brigido,Tapatío,2952,263
3848,L. Pérez,CA La Paz,2793,263
3849,J. Ibarra,Atlético Morelia,2315,263
3850,J. Gurrola,CA La Paz,1121,263
3851,F. Escalante,Durango,1598,263
3852,C. Rosel,Venados,1425,263
3853,J. Uchuari,Atlético Morelia,1590,263
3854,M. Velázquez,Atlante,3308,263
3855,Jacobo Reyes,New Mexico United,2166,263
3856,G. Vázquez,Dorados,1076,263
3857,J. Martínez,Atlante,3576,263
3858,C. Engelhart,Tepatitlán de Morelos,2053,263
3859,F. Acuña,Cimarrones de Sonora,2486,263
3860,I. Márquez,Tepatitlán de Morelos,1586,263
3861,J. Hernández,Guanacasteca,1195,263
3862,V. López,Monterrey U23,2415,263
3863,K. Hernández,Alebrijes de Oaxaca,1192,263
3864,D. Osuna,Dorados,1482,263
3865,C. Traore,Cancún,1279,263
3866,Aldo Serna,Tlaxcala,1553,263
3867,B. Gambarte,NA,1206,263
3868,J. Jiménez,Mineros de Zacatecas,3008,263
3869,C. Jaramillo,Guadalajara,3695,673
3870,L. Ovalle,Tigres UANL,3555,673
3871,D. Evangelista,Monterrey,3512,673
3872,J. Casarez,FC Juárez,3323,673
3873,D. Espinosa,Tijuana,3238,673
3874,M. Ocampo,Pachuca,3128,673
3875,D. Calderón,León,3057,673
3876,J. Robles,Atlético de San Luis,3054,673
3877,E. Santamaria,Querétaro,2981,673
3878,Jennifer Hermoso,Pachuca,2945,673
3879,S. Mayor,Tigres UANL,2932,673
3880,Brenda Graca,Toluca,2904,673
3881,D. Molina,Cruz Azul,2868,673
3882,J. Montoya,Tigres UANL,2856,673
3883,P. Villamizar,Tijuana,2847,673
3884,M. Cox,Pachuca,2795,673
3885,K. Soto,Guadalajara,2786,673
3886,G. Valenzuela,Guadalajara,2765,673
3887,D. Carrandi,Atlético de San Luis,2740,673
3888,D. Garza,Pumas UNAM,2694,673
3889,L. Ángeles,León,2544,673
3890,M. Cortés,Querétaro,2377,673
3891,B. Cuevas,América,2350,673
3892,M. Pasco,León,2329,673
3893,A. Aviléz,América,2313,673
3894,C. Peraza,Toluca,2308,673
3895,M. Zuazua,FC Juárez,2306,673
3896,N. Duarte,Cruz Azul,2279,673
3897,D. Félix,NA,2241,673
3898,Bea Parra,Tindastóll,2228,673
3899,C. Ibarra,Atlas,2215,673
3900,B. Cruz,Tigres UANL,2167,673
3901,M. Delgadillo,Monterrey,2146,673
3902,B. León,Santos Laguna,2102,673
3903,J. Seoposenwe,Monterrey,2076,673
3904,P. Chavero,Pumas UNAM,2038,673
3905,S. Camberos,Angel City,1939,673
3906,A. Lomelí,Atlas,1922,673
3907,M. Mauleon,América,1885,673
3908,D. Solís,Monterrey,1792,673
3909,D. Guatemala,Toluca,1771,673
3910,E. Izaguirre,Tijuana,1653,673
3911,C. Solís De León,NA,1479,673
3912,F. Bracamonte,NA,1449,673
3913,M. Rausch,León,1435,673
3914,L. Romero,Santos Laguna,1434,673
3915,R. Villuendas,FC Juárez,1422,673
3916,M. Peña,NA,1413,673
3917,María Sánchez,Toluca,1364,673
3918,Silvana González,Atlético de San Luis,1311,673
3919,Alice Soto,Pachuca,1286,673
3920,B. Ceren,Atlas,1257,673
3921,A. Huerta,NA,1252,673
3922,M. Reyes,Tigres UANL,1245,673
3923,N. Valadez,Toluca,1243,673
3924,S. Mason,Tijuana,1239,673
3925,D. Hernandez,Guadalajara,1220,673
3926,U. Kanu,Racing Louisville,1208,673
3927,M. Campa,León,1152,673
3928,E. Salazar,Pachuca,1122,673
3929,A. Guerrero,Pumas UNAM,1111,673
3930,L. Cuevas,León,1093,673
3931,C. Torres,Mazatlán,1084,673
3932,D. Auza,Puebla,1045,673
3933,M. Maldonado,Atlas,1044,673
3934,K. Gómez,Pumas UNAM,1012,673
3935,C. Ihezuo,Monterrey,1010,673
3936,B. Olivieri,Houston Dash,974,673
3937,K. Saavedra,NA,971,673
3938,Iraida Fernandez,Necaxa,957,673
3939,B. Woodall,León,923,673
3940,A. Becerra,Mazatlán,904,673
3941,A. Vázquez,Guadalajara,903,673
4106,Vinícius Júnior,Real Madrid,2805,140
4107,Pedri,Barcelona,2033,140
4108,F. Valverde,Real Madrid,2481,140
4109,Rodrygo,Real Madrid,2253,140
4110,O. Dembélé,Barcelona,1255,140
4111,Ansu Fati,Barcelona,1331,140
4112,Raphinha,Barcelona,1927,140
4113,Yéremi Pino,Villarreal,2144,140
4114,Marcos Llorente,Atlético Madrid,1830,140
4115,Á. Correa,Atlético Madrid,1334,140
4116,K. Benzema,Real Madrid,1922,140
4117,N. Fekir,Real Betis,1058,140
4118,Ferrán Torres,Barcelona,1379,140
4119,Oihan Sancet,Athletic Bilbao,2296,140
4120,Gabri Veiga,Celta de Vigo,1994,140
4121,F. Kessié,Barcelona,905,140
4122,A. Griezmann,Atlético Madrid,2610,140
4123,Y. Carrasco,Atlético Madrid,2093,140
4124,T. Lemar,Atlético Madrid,1275,140
4125,Marco Asensio,Real Madrid,1371,140
4126,Nico Williams,Athletic Bilbao,2539,140
4127,Iñaki Williams,Athletic Bilbao,2589,140
4128,V. Tsygankov,Girona,1111,140
4129,Y. Musah,Valencia,2248,140
4130,Sergio Canales,Real Betis,2137,140
4131,S. Chukwueze,Villarreal,2246,140
4132,Álex Baena,Villarreal,1833,140
4133,G. Lo Celso,Villarreal,1032,140
4134,Sergi Darder,Espanyol,3168,140
4135,Samuel Lino,Valencia,2848,140
4136,Kang-In Lee,Mallorca,2677,140
4137,T. Kubo,Real Sociedad,2221,140
4138,Luiz Henrique,Real Betis,1816,140
4139,Álex Berenguer,Athletic Bilbao,2093,140
4140,Alfonso Pedraza,Villarreal,1543,140
4141,André Almeida,Valencia,2278,140
4142,Iker Muniain,Athletic Bilbao,1542,140
4143,J. Kluivert,Valencia,1218,140
4144,Carles Aleñà,Getafe,2005,140
4145,Rodrigo Riquelme,Girona,2135,140
4146,Isi Palazón,Rayo Vallecano,2723,140
4147,E. Ávila,Osasuna,1629,140
4148,L. Ramazani,Almería,1486,140
4149,Ez Abde,Osasuna,1278,140
4150,Rodri Sánchez,Real Betis,1512,140
4151,Samu Castillejo,Valencia,1463,140
4152,Javi Puado,Espanyol,2093,140
4153,Suso,Sevilla,1053,140
4154,Iago Aspas,Celta de Vigo,3003,140
4155,Nico Melamed,Espanyol,997,140
4156,Edu Expósito,Espanyol,1173,140
4157,Álvaro García,Rayo Vallecano,2624,140
4158,Aimar Oroz,Osasuna,1662,140
4159,Rubén García,Osasuna,1060,140
4160,G. Plata,Real Valladolid,2067,140
4161,Carles Pérez,Celta de Vigo,1822,140
4162,Munir El Haddadi,Getafe,1177,140
4163,David Silva,Real Sociedad,1930,140
4164,Yan Couto,Girona,1071,140
4165,Alberto Moreno,Villarreal,1195,140
4166,T. Bongonda,Cádiz,1736,140
4167,José Luis Morales,Villarreal,1381,140
4168,Pere Milla,Elche,1921,140
4169,Adri Embarba,Almería,1306,140
4170,Óscar Plano,Real Valladolid,1989,140
4171,Ó. Trejo,Rayo Vallecano,2101,140
4172,L. de la Torre,Celta de Vigo,1330,140
4173,Kike Barja,Osasuna,1167,140
4174,Toni Villa,Girona,1114,140
4175,Tete Morente,Elche,1788,140
4176,B. Ocampo,Cádiz,1204,140
4177,D. Brašanac,Osasuna,1148,140
4178,Rubén Sobrino,Cádiz,2229,140
4179,Léo Baptistão,Almería,1751,140
4180,Valery Fernández,Girona,978,140
4181,Ramón Terrats,Villarreal B,920,140
4182,Dani Rodríguez,Mallorca,1894,140
4183,Iván Alejo,Cádiz,1267,140
4184,Fidel,Elche,1436,140
4185,Iván Martín,Girona,1416,140
4186,Iván Sánchez,Real Valladolid,1182,140
4187,Rubén Sánchez,Espanyol,984,140
4188,Alejandro Balde,Barcelona,2357,140
4189,Gavi,Barcelona,2393,140
4311,C. Rodríguez,Cruz Azul,3180,262
4312,L. Fernández,Toluca,2775,262
4313,A. Vega,Guadalajara,2811,262
4314,M. Araújo,Toluca,3588,262
4315,A. González,Monterrey,2868,262
4316,V. Guzmán,Guadalajara,3212,262
4317,M. Meza,Monterrey,2839,262
4318,D. Valdés,América,3292,262
4319,J. Brunetta,Santos Laguna,3151,262
4320,F. Beltrán,Guadalajara,3310,262
4321,E. López,Pachuca,1430,262
4322,J. Meneses,Toluca,3798,262
4323,R. Alvarado,Guadalajara,3229,262
4324,A. Zendejas,América,2419,262
4325,Y. Moreno,León,2038,262
4326,V. Dávila,León,2468,262
4327,S. Córdova,Tigres UANL,2990,262
4328,U. Antuna,Cruz Azul,3185,262
4329,B. Lozano,Atlas,1631,262
4330,N. López,Tigres UANL,1012,262
4331,B. Rodríguez,América,1079,262
4332,R. Rotondi,Cruz Azul,2451,262
4333,R. Pizarro,Inter Miami,1065,262
4334,N. Benedetti,Mazatlán,2304,262
4335,G. Del Prete,Pumas UNAM,2160,262
4336,L. Suárez,América,1984,262
4337,L. Rodríguez,Club Tijuana,2121,262
4338,E. Salvio,Pumas UNAM,2387,262
4339,J. Cortizo,Monterrey,2146,262
4340,R. Fulgencio,Tigres UANL,1807,262
4341,L. Quiñónes,Tigres UANL,2747,262
4342,F. Waller,Puebla,2430,262
4343,D. Lainez,Tigres UANL,952,262
4344,O. Fernández,Puebla,1977,262
4345,Á. Romero,Corinthians,952,262
4346,J. Murillo,Atlético de San Luis,2767,262
4347,J. Herrera,Atlas,2581,262
4348,C. Calderón,Guadalajara,2310,262
4349,J. Campbell,León,1882,262
4350,R. Ibarra,Pachuca,979,262
4351,É. Flores,Atlas,923,262
4352,I. Brizuela,Guadalajara,1326,262
4353,Paulino De la Fuente,Pachuca,964,262
4354,J. Montecinos,Club Tijuana,1541,262
4355,C. Huerta,Pumas UNAM,1710,262
4356,J. Dueñas,Cruz Azul,2646,262
4357,C. Cisneros,Guadalajara,2114,262
4358,Á. Mena,León,1968,262
4359,L. Sequeira,Real Oviedo,1075,262
4360,A. Medina,Mazatlán,2116,262
4361,Vitinho,Atlético de San Luis,1976,262
4362,D. Villalpando,Atlético de San Luis,2092,262
4363,A. Hurtado,Pachuca,2710,262
4364,I. Luna,Pachuca,1159,262
4365,P. Pérez,Guadalajara,1132,262
4366,Y. Bárcenas,Mazatlán,2226,262
4367,E. Bello,Mazatlán,1343,262
4368,J. Colmán,Mazatlán,1167,262
4369,L. García,Puebla,937,262
4370,D. Álvarez,Puebla,932,262
4371,P. Barrera,Querétaro,3175,262
4372,D. Medina,Santos Laguna,1313,262
4373,C. Trejo,Atlas,986,262
4374,F. Valenzuela,Club Tijuana,1083,262
4375,J. Hernández,Pachuca,1223,262
4530,K. Mbappé,PSG,2533,61
4531,Neymar,PSG,1622,61
4532,A. Hakimi,PSG,2032,61
4533,Nuno Mendes,PSG,1647,61
4534,L. Messi,PSG,2628,61
4535,K. Thuram,Nice,2642,61
4536,S. Fofana,Lens,2999,61
4537,Carlos Soler,PSG,1212,61
4538,R. Cherki,Olympique Lyonnais,1659,61
4539,Tetê,Olympique Lyonnais,1155,61
4540,M. Guendouzi,Olympique Marseille,2025,61
4541,A. Golovin,Monaco,2370,61
4542,N. Pépé,Nice,1618,61
4543,L. Majer,Rennes,1398,61
4544,J. Bamba,Lille,2586,61
4545,S. Diop,Nice,1125,61
4546,J. Doku,Rennes,1051,61
4547,R. Malinovskyi,Olympique Marseille,994,61
4548,Nuno Tavares,Olympique Marseille,2411,61
4549,L. Blas,Nantes,2615,61
4550,C. Ünder,Olympique Marseille,2270,61
4551,A. Ounahi,Olympique Marseille,1327,61
4552,J. Clauss,Olympique Marseille,2418,61
4553,K. Diatta,Monaco,2133,61
4554,Juan Bernat,PSG,1387,61
4555,K. Toko Ekambi,Rennes,2124,61
4556,J. Ito,Reims,2717,61
4557,David Costa,Lens,1474,61
4558,J. Bellegarde,Strasbourg,2217,61
4559,M. Simon,Nantes,2255,61
4560,F. Honorat,Brest,2484,61
4561,A. Ounas,Lille,990,61
4562,R. Faivre,Lorient,1270,61
4563,E. Zhegrova,Lille,1101,61
4564,B. Barcola,Olympique Lyonnais II,1265,61
4565,Z. Aboukhlal,Toulouse,2476,61
4566,M. Sanson,Strasbourg,1123,61
4567,R. Cabella,Lille,2361,61
4568,M. Munetsi,Reims,2507,61
4569,M. Cham,Clermont,1914,61
4570,E. Guessand,Nantes,1343,61
4571,A. Nordin,Montpellier,2155,61
4572,A. Sánchez,Olympique Marseille,2492,61
4573,A. Zeneli,Reims,1061,61
4574,A. Thomasson,Lens,2037,61
4575,F. Sotoca,Lens,2935,61
4576,Rony Lopes,Troyes,2089,61
4577,W. Khazri,Montpellier,1636,61
4578,H. Diarra,Strasbourg,1385,61
4579,R. Del Castillo,Brest,1238,61
4580,S. Diarra,Lorient,1146,61
4581,K. Doumbia,Reims,1227,61
4582,G. Hein,Auxerre,1668,61
4583,F. Mollet,Nantes,901,61
4584,Y. Cathline,Lorient,1150,61
4585,M. Pereira Lage,Brest,1252,61
4586,J. Ponceau,Lorient,1741,61
4587,Rafael Ratão,Toulouse,1669,61
4588,E. Rashani,Clermont,1976,61
4589,J. Allevinah,Clermont,2233,61
4590,Y. Belaïli,Ajaccio,1588,61
4591,B. Dejaegere,Toulouse,1778,61
4592,T. Delaine,Strasbourg,1093,61
4593,M. van Bergen,Reims,1013,61
4594,S. Khaoui,Clermont,1938,61
4595,G. Perrin,Auxerre,1363,61
4596,L. Sinayoko,Auxerre,1477,61
4597,M. Autret,Auxerre,1347,61
4598,C. Bayala,Ajaccio,1965,61
4599,K. Spadanuda,Ajaccio,1016,61
4600,R. Hamouma,Ajaccio,1155,61
4601,D. Ouattara,Bournemouth,1633,61
4602,A. Salama,Angers SCO,1329,61
4603,D. Doué,Rennes,1166,61
4604,D. Machado,Lens,1990,61
4605,W. Odobert,Troyes,1703,61
4606,F. Chaibi,Toulouse,2248,61
4607,E. Ben Seghir,Monaco U21,921,61
4766,P. Foden,Manchester City,1681,39
4767,B. Saka,Arsenal,3199,39
4768,K. De Bruyne,Manchester City,2546,39
4769,Bernardo Silva,Manchester City,2296,39
4770,M. Rashford,Manchester United,2840,39
4771,M. Ødegaard,Arsenal,3108,39
4772,Bruno Fernandes,Manchester United,3105,39
4773,Mohamed Salah,Liverpool,3268,39
4774,J. Grealish,Manchester City,2177,39
4775,Antony,Manchester United,1619,39
4776,M. Mount,Chelsea,1786,39
4777,R. Sterling,Chelsea,1778,39
4778,Heung-Min Son,Tottenham Hotspur,2844,39
4779,Gabriel Martinelli,Arsenal,3003,39
4780,J. Maddison,Leicester City,2337,39
4781,D. Kulusevski,Tottenham Hotspur,2046,39
4782,J. Sancho,Manchester United,1416,39
4783,Matheus Nunes,Wolverhampton Wanderers,2489,39
4784,Lucas Paquetà,West Ham United,2019,39
4785,A. Mac Allister,Brighton,2684,39
4786,A. Gordon,Newcastle United,1649,39
4787,J. Bowen,West Ham United,3270,39
4788,Joelinton,Newcastle United,2735,39
4789,H. Elliott,Liverpool,1687,39
4790,M. Almirón,Newcastle United,2310,39
4791,A. Saint-Maximin,Newcastle United,1112,39
4792,C. Gallagher,Chelsea,1486,39
4793,H. Barnes,Leicester City,2636,39
4794,J. Ramsey,Aston Villa,2585,39
4795,Pedro Neto,Wolverhampton Wanderers,999,39
4796,M. Gibbs-White,Nottingham Forest,3050,39
4797,R. Mahrez,Manchester City,1701,39
4798,B. Aaronson,Leeds United,2481,39
4799,E. Eze,Crystal Palace,2565,39
4800,L. Trossard,Arsenal,2199,39
4801,J. Willock,Newcastle United,2592,39
4802,B. Mbeumo,Brentford,2824,39
4803,E. Buendía,Aston Villa,2515,39
4804,M. Olise,Crystal Palace,2682,39
4805,W. Zaha,Crystal Palace,2426,39
4806,A. Iwobi,Everton,3301,39
4807,İ. Gündoğan,Manchester City,2372,39
4808,L. Bailey,Aston Villa,1974,39
4809,L. Sinisterra,Leeds United,938,39
4810,J. Harrison,Leeds United,2687,39
4811,Roberto Firmino,Liverpool,1253,39
4812,R. Aït Nouri,Wolverhampton Wanderers,1142,39
4813,S. Benrahma,West Ham United,2062,39
4814,K. Mitoma,Brighton,2029,39
4815,B. Johnson,Nottingham Forest,2956,39
4816,D. Gray,Everton,2549,39
4817,Á. Lopera,Aston Villa,1352,39
4818,Daniel Podence,Wolverhampton Wanderers,1837,39
4819,P. Billing,Bournemouth,2808,39
4820,D. McNeil,Everton,2344,39
4821,W. Gnonto,Leeds United,1393,39
4822,S. March,Brighton,2914,39
4823,C. Jones,Liverpool,904,39
4824,Andreas Pereira,Fulham,2853,39
4825,M. Tavernier,Bournemouth,1894,39
4826,H. Wilson,Fulham,913,39
4827,D. James,Fulham,917,39
4828,M. Elyounoussi,Southampton,2184,39
4829,A. Armstrong,Southampton,1417,39
4830,A. Doucouré,Everton,1320,39
4831,C. Summerville,Leeds United,1570,39
4832,Adama Traoré,Wolverhampton Wanderers,1458,39
4833,Hee-Chan Hwang,Wolverhampton Wanderers,1046,39
4834,I. Perišić,Tottenham Hotspur,2289,39
4835,J. Murphy,Newcastle United,1388,39
4836,R. Christie,Bournemouth,1801,39
4837,J. Dasilva,Brentford,1525,39
4838,B. De Cordova-Reid,Fulham,2615,39
4839,S. Armstrong,Southampton,1342,39
4840,J. Ayew,Crystal Palace,2641,39
4841,J. Anthony,Bournemouth,1271,39
4842,Willian,Fulham,1887,39
4843,Pedro Porro,Tottenham Hotspur,1262,94
4844,Pedro Gonçalves,Sporting CP,3049,94
4845,M. Edwards,Sporting CP,2423,94
4846,Rafa Silva,Benfica,2350,94
4847,David Neres,Benfica,2088,94
4848,Pepê,Porto,2881,94
4849,Galeno,Porto,2197,94
4850,Ricardo Horta,Sporting Braga,2857,94
4851,João Mário,Porto,1356,94
4852,Francisco Trincão,Sporting CP,2384,94
4853,João Mário,Benfica,2823,94
4854,Iuri Medeiros,Sporting Braga,2176,94
4855,Arthur Gomes,Sporting CP,1227,94
4856,Bruma,Sporting Braga,1107,94
4857,Romário Baró,Casa Pia AC,1005,94
4858,Gabriel Silva,Santa Clara,2408,94
4859,Tiago Gouveia,Estoril,2533,94
4860,K. Fujimoto,Gil Vicente,2830,94
4861,J. Léa Siliki,Estoril,932,94
4862,Matchoi Djaló,Paços de Ferreira,1416,94
4863,Ivo Rodrigues,Famalicão,2583,94
4864,Iván Jaime,Famalicão,2021,94
4865,S. Godwin,Casa Pia AC,2608,94
4866,Bruno Xadas,Marítimo,2564,94
4867,Y. Soma,Casa Pia AC,1312,94
4868,Rúben Lameiras,Vitória Guimarães,1273,94
4869,Rildo,Santa Clara,949,94
4870,T. Kunimoto,Casa Pia AC,1363,94
4871,Pablo Moreno,Marítimo,984,94
4872,André Vidigal,Marítimo,2815,94
4873,Jota Silva,Vitória Guimarães,1730,94
4874,Nélson Luz,Vitória Guimarães,1340,94
4875,Ricardo Mangas,Boavista,2018,94
4876,Kiko Bondoso,Vizela,3080,94
4877,K. Gorré,Boavista,1624,94
4878,K. Zohi,Vizela,1039,94
4879,Ricardinho,Santa Clara,1954,94
4880,Murilo,Gil Vicente,2309,94
4881,M. Johnston,Vitória Guimarães,1547,94
4882,Fábio Ronaldo,Rio Ave,2142,94
4883,João Teixeira,Chaves,2939,94
4884,Luquinha,Portimonense,1278,94
4885,A. Bukia,Al Batin,1087,94
4886,Nuno Moreira,Vizela,1979,94
4887,Rodrigo Martins,Estoril,1533,94
4888,Y. González,Portimonense,1060,94
4889,N. Thomas,Paços de Ferreira,2196,94
4890,Euller,Chaves,1158,94
4891,A. Issah,Chaves,1513,94
4892,Bruno Lourenço,Boavista,2024,94
4893,Rui Gomes,Portimonense,1252,94
4894,J. Boselli,Gil Vicente,1374,94
4895,João Mendes,Chaves,2514,94
4896,Bruno Almeida,Santa Clara,1364,94
4897,Antony,Arouca,2561,94
4898,Pedro Silva,Gil Vicente,1371,94
4899,N. Gaitán,Paços de Ferreira,1917,94
4900,Paulo Vitor,Rio Ave,1257,94
4901,Benny Sousa,Chaves,1369,94
5059,Rafael Leão,Milan,2356,135
5060,K. Kvaratskhelia,Napoli,2354,135
5061,Theo Hernández,Milan,2680,135
5062,P. Zieliński,Napoli,2078,135
5063,L. Pellegrini,Roma,2586,135
5064,G. Raspadori,Napoli,933,135
5065,A. Lookman,Atalanta,1740,135
5066,P. Dybala,Roma,1772,135
5067,A. Rabiot,Juventus,2573,135
5068,N. Zaniolo,Galatasaray,955,135
5069,H. Lozano,Napoli,1706,135
5070,N. González,Fiorentina,1397,135
5071,C. De Ketelaere,Milan,1184,135
5072,E. Elmas,Napoli,1580,135
5073,M. Zaccagni,Lazio,2639,135
5074,M. Pašalić,Atalanta,1622,135
5075,T. Ndombèlé,Napoli,913,135
5076,F. Kostić,Juventus,2521,135
5077,D. Udogie,Udinese,2685,135
5078,D. Frattesi,Sassuolo,2796,135
5079,Brahim Diaz,Milan,1753,135
5080,N. Vlašić,Torino,2574,135
5081,M. Politano,Napoli,1215,135
5082,Luis Alberto,Lazio,2247,135
5083,D. Berardi,Sassuolo,1552,135
5084,A. Laurienté,Sassuolo,2199,135
5085,J. Ikoné,Fiorentina,1927,135
5086,L. Spinazzola,Roma,1819,135
5087,Felipe Anderson,Lazio,2930,135
5088,F. Miretti,Juventus,1217,135
5089,A. Saelemaekers,Milan,1357,135
5090,Gerard Deulofeu,Udinese,1286,135
5091,M. Barrow,Bologna,1700,135
5092,Al. Miranchuk,Torino,2005,135
5093,A. Barák,Fiorentina,1696,135
5094,Strefezza,Lecce,2138,135
5095,Á. Di María,Juventus,1317,135
5096,A. Rebić,Milan,1006,135
5097,G. Caprari,Monza,2301,135
5098,K. Thorstvedt,Sassuolo,1151,135
5099,L. Muriel,Atalanta,1057,135
5100,N. Bajrami,Sassuolo,1687,135
5101,L. Samardžić,Udinese,1602,135
5102,R. Orsolini,Bologna,1997,135
5103,M. Arnautović,Bologna,1335,135
5104,S. Lovrič,Udinese,2058,135
5105,D. Zappacosta,Atalanta,1225,135
5106,R. Pereyra,Udinese,2551,135
5107,H. Mkhitaryan,Internazionale,2044,135
5108,Junior Messias,Milan,1391,135
5109,E. Holm,Spezia,1499,135
5110,P. Mazzocchi,Salernitana,1713,135
5111,S. El Shaarawy,Roma,1454,135
5112,S. Verdi,Hellas Verona,1027,135
5113,Carlos Augusto,Monza,2920,135
5114,D. Verde,Spezia,1077,135
5115,R. Oudin,Lecce,1038,135
5116,L. Ferguson,Bologna,2137,135
5117,N. Radonjić,Torino,1555,135
5118,R. Soriano,Bologna,1443,135
5119,F. Bandinelli,Empoli,2222,135
5120,K. Agudelo,Spezia,2197,135
5121,M. Aebischer,Bologna,1406,135
